,Image,Color,Texture,Text
49,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00004.jpg,0.30118428320558244,0.9091709391900588,0
50,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00070.jpg,0.3000679414355606,0.9293478345070498,0
51,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00160.jpg,0.2979115874782128,0.9076950469034885,0
52,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00244.jpg,0.29424780267065775,0.9491498929229152,0
53,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00161.jpg,0.29134365148548713,0.9109283734800435,0
54,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00235.jpg,0.2892677811629272,0.9018252912205339,0
55,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00013.jpg,0.28828643756136907,0.8891755221134383,0
56,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00174.jpg,0.28793859857526405,0.9282282348493353,0
57,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00239.jpg,0.2877822099770837,0.9297706849987958,0
58,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00156.jpg,0.2831729995360731,0.9246766243359957,0
59,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00170.jpg,0.2804898223397493,0.8574782059451083,0
60,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00152.jpg,0.2791418242959973,0.908145462293857,0
61,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00157.jpg,0.2790948876414697,0.9189975565632851,0
62,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00060.jpg,0.2759338337258326,0.9317555098454053,0
63,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00195.jpg,0.27387589338892837,0.8995277039935772,0
64,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00038.jpg,0.2728332714322522,0.8254262590079802,0
65,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00081.jpg,0.27246108675642167,0.9385839898060797,0
66,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00228.jpg,0.2720066168539512,0.756765947174304,0
67,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00236.jpg,0.2714875376615631,0.8164547789251283,0
68,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00272.jpg,0.2709870324259711,0.9019585465853314,0
69,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00114.jpg,0.268978141061462,0.8327669621560876,0
70,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00218.jpg,0.2686755433800463,0.9273956702167538,0
71,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00158.jpg,0.26812343385975657,0.8914274344567436,0
72,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00182.jpg,0.2673896841044272,0.8212179928921747,0
73,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00206.jpg,0.26658293213806894,0.8798235491394051,0
74,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00282.jpg,0.26590813842203187,0.8553900366337138,0
75,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00193.jpg,0.2654732978671315,0.9318195287186062,0
76,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00143.jpg,0.265282451224378,0.9460738145829237,0
77,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00103.jpg,0.2644658712079142,0.9247026182452772,0
78,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00163.jpg,0.26303872298202946,0.8194684477217945,0
79,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00130.jpg,0.2622053908114156,0.8658972011419914,0
80,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00180.jpg,0.2578900035655225,0.8854549940427339,0
81,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00119.jpg,0.25663710551289864,0.9155132278442629,0
82,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00201.jpg,0.25652186486055495,0.8904807724854122,0
83,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00149.jpg,0.2554844415075094,0.9399623574219083,0
84,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00226.jpg,0.2535289637867473,0.9328927747556567,0
85,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00251.jpg,0.2534143809963809,0.8970327716368501,0
86,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00090.jpg,0.25172361433635704,0.9302050094473643,0
87,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00043.jpg,0.25135017172132823,0.9116703569541226,0
88,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00190.jpg,0.2499247275182922,0.918699239778558,0
89,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00112.jpg,0.24793692909553056,0.909809218020826,0
90,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00215.jpg,0.24777435881306942,0.9216175608678234,0
91,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00250.jpg,0.24761784813965226,0.885945517221757,0
92,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00082.jpg,0.24651520904488755,0.9351622035310292,0
93,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00040.jpg,0.24635018245611706,0.9357321082946729,0
94,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00241.jpg,0.24427543160252885,0.9320500009794457,0
95,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00037.jpg,0.24305339577506224,0.9295668137472282,0
96,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00120.jpg,0.2427889398540728,0.9366607334185867,0
97,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00234.jpg,0.24127888991166246,0.9121207820292724,0
98,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00265.jpg,0.24083503861636102,0.9265433982661926,0
99,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00133.jpg,0.23731349638348498,0.9164714549056663,0
100,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00009.jpg,0.23664987698417506,0.9054032203968286,0
101,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00135.jpg,0.2361646933845687,0.9236268784182261,0
102,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00185.jpg,0.2357062955298569,0.9132627308589342,0
103,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00173.jpg,0.23559685742340508,0.8948560427484357,0
104,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00109.jpg,0.23528560407661092,0.9369492778302098,0
105,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00019.jpg,0.2349637154298333,0.90440474113411,0
106,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00079.jpg,0.23473841779311655,0.9331186286254425,0
107,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00277.jpg,0.23313771532938588,0.8895605303100521,0
108,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00275.jpg,0.2330792304925683,0.9383642968296271,0
109,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00248.jpg,0.2326641636696104,0.9323577447131688,0
110,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00113.jpg,0.2318419572457463,0.9151767048031856,0
111,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00116.jpg,0.2313350853344579,0.9243464258963942,0
112,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00076.jpg,0.2300382642823403,0.8929228748685987,0
113,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00118.jpg,0.22959327562074505,0.8084846385342374,0
114,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00123.jpg,0.22923752472012215,0.909986780662381,0
115,/Users/brian/Desktop/Computer Vision/M1/Project/BBDD/bbdd_00230.jpg,0.2285169873959404,0.9320019866150828,0
